index,day_of_week,month,hour,x_coord,y_coord,delays
127,5.0,4.0,7.0,-84.36538,33.769542,263.7666666666667
128,5.0,4.0,8.0,-84.36538,33.769542,263.7666666666667
129,5.0,4.0,9.0,-84.36538,33.769542,263.7666666666667
130,5.0,4.0,10.0,-84.36538,33.769542,256.7666666666667
131,5.0,4.0,11.0,-84.36538,33.769542,128.4
132,5.0,4.0,12.0,-84.36538,33.769542,126.1
133,5.0,4.0,13.0,-84.36538,33.769542,131.7
134,5.0,4.0,14.0,-84.36538,33.769542,152.7
135,5.0,4.0,15.0,-84.36538,33.769542,153.0
136,5.0,4.0,16.0,-84.36538,33.769542,123.85
137,5.0,4.0,17.0,-84.36538,33.769542,130.03
138,5.0,4.0,18.0,-84.36538,33.769542,153.725
139,5.0,4.0,19.0,-84.36538,33.769542,106.09166666666665
140,5.0,4.0,20.0,-84.36538,33.769542,132.95833333333331
141,5.0,4.0,21.0,-84.36538,33.769542,123.95833333333333
142,5.0,4.0,22.0,-84.36538,33.769542,104.8
143,5.0,4.0,23.0,-84.36538,33.769542,127.08250000000002
144,5.0,4.0,0.0,-84.373387,33.760119,105.01666666666665
145,5.0,4.0,1.0,-84.373387,33.760119,79.8375
146,5.0,4.0,2.0,-84.373387,33.760119,80.975
147,5.0,4.0,3.0,-84.373387,33.760119,81.275
148,5.0,4.0,4.0,-84.373387,33.760119,82.64166666666668
149,5.0,4.0,5.0,-84.373387,33.760119,129.61666666666667
150,5.0,4.0,6.0,-84.373387,33.760119,133.45
151,5.0,4.0,7.0,-84.373387,33.760119,133.25
152,5.0,4.0,8.0,-84.373387,33.760119,87.375
153,5.0,4.0,9.0,-84.373387,33.760119,86.975
154,5.0,4.0,10.0,-84.373387,33.760119,93.9
155,5.0,4.0,11.0,-84.373387,33.760119,83.09285714285714
156,5.0,4.0,12.0,-84.373387,33.760119,91.26
157,5.0,4.0,13.0,-84.373387,33.760119,129.06666666666666
158,5.0,4.0,14.0,-84.373387,33.760119,84.71333333333332
159,5.0,4.0,15.0,-84.373387,33.760119,108.95
160,5.0,4.0,16.0,-84.373387,33.760119,96.525
161,5.0,4.0,17.0,-84.373387,33.760119,94.85
162,5.0,4.0,18.0,-84.373387,33.760119,109.08416666666668
163,5.0,4.0,19.0,-84.373387,33.760119,122.44750000000002
164,5.0,4.0,20.0,-84.373387,33.760119,130.1
165,5.0,4.0,21.0,-84.373387,33.760119,126.8125
166,5.0,4.0,22.0,-84.373387,33.760119,117.56666666666665
167,5.0,4.0,23.0,-84.373387,33.760119,110.3875
168,5.0,4.0,0.0,-84.411356,33.804207,222.225
